Frequency Log(Hz), Gain(dB), Phase(deg)
1.25465743918945,-3.56046644302643,-47.8136120961216
1.26024689191357,-3.62513100867312,-48.1426064113576
1.26466723014416,-3.672532069922,-48.4383948670153
1.27013012584566,-3.73650233509996,-48.7860854033446
1.27552515773237,-3.78581789035965,-49.1455083631957
1.27979344252504,-3.7590033956117,-49.1413089636843
1.2850704756386,-3.90856543234958,-49.6968612245333
1.290284157484,-3.9620844587988,-49.9908620915239
1.29543599111043,-4.01884435312503,-50.2951540341406
1.29951390353087,-4.06551381015287,-50.5527100412006
1.30455803087107,-4.12649685181316,-50.8680683049788
1.3095442450218,-4.18774032459165,-51.1669886912594
1.31545310463232,-4.26649820397897,-51.5550936823003
1.32031647552102,-4.32400821833133,-51.8695464564946
1.3251259873748,-4.38644478322339,-52.1378498980741
1.32988282005496,-4.44688872133431,-52.4609215721393
1.33458811507258,-4.50912450671332,-52.7078097920691
1.34016799245342,-4.51823466677127,-52.9904658246453
1.34476374414257,-4.62990608545259,-53.3378719088695
1.35021521089153,-4.71145897372546,-53.7047998080905
1.35470640377999,-4.7789662796967,-53.9866217081376
1.36003523728506,-4.84627073198715,-54.2815553784429
1.36529947727742,-4.91774098686743,-54.602559300643
1.36963811957363,-4.97629237814871,-54.8740296898
1.37478791685446,-5.04046058568644,-55.1515910816967
1.37987736355889,-5.11649560257415,-55.4576711195535
1.38490785781722,-5.18032806713718,-55.7462722273556
1.38988074973025,-5.24533068108026,-55.9871514335056
1.39479734354427,-5.30884791474338,-56.3057791235109
1.39965889970444,-5.39020107076383,-56.6134845168288
1.40526277722244,-5.45879069692455,-56.8493679380842
1.4100092122469,-5.48679436858034,-57.1174690195214
1.41470433345528,-5.57296333649413,-57.4020486394558
1.42011858233714,-5.66155236419866,-57.7258728108222
1.42470624276355,-5.72258077712432,-57.9716275704245
1.42999797293823,-5.79186421228683,-58.275714627404
1.43522600059988,-5.85973196278003,-58.5395647124913
1.43965761539896,-5.94252178018827,-58.8055101617524
1.44477131850611,-6.00354345290812,-59.0862203661283
1.44982550917017,-6.07732959841895,-59.358751729992
